Model,Nu,Nf,test_loss,loss_extrap_time,loss_extrap_space
resnet,20,2000,0.09645013511180878,0.3820553421974182,0.05799718573689461
gru,20,2000,0.09520755708217621,0.19545777142047882,0.057969436049461365
coupling,20,2000,0.09580313414335251,0.2667224407196045,0.056418612599372864
fourier,20,2000,0.07436887174844742,0.06317368149757385,0.048528727144002914
resnet,40,2000,0.10114317387342453,0.34540653228759766,0.08684690296649933
gru,40,2000,0.10070621967315674,0.15163907408714294,0.08765426278114319
coupling,40,2000,0.1005479171872139,0.2136913537979126,0.0862477719783783
fourier,40,2000,0.08149687945842743,0.03887918218970299,0.08013110607862473
resnet,60,2000,0.05817464739084244,0.3485066145658493,0.0921112485229969
gru,60,2000,0.05699284002184868,0.156852625310421,0.09312035515904427
coupling,60,2000,0.05740148946642876,0.2197384163737297,0.0910518690943718
fourier,60,2000,0.03618864715099335,0.040904950350522995,0.08546989411115646
resnet,70,2000,0.06082158535718918,0.36270876228809357,0.07948344200849533
gru,70,2000,0.05967880040407181,0.1724896803498268,0.07991203665733337
coupling,70,2000,0.06001993641257286,0.2371898964047432,0.07883825898170471
fourier,70,2000,0.03812962397933006,0.050107281655073166,0.07177656143903732
resnet,80,2000,0.08410992473363876,0.36580048501491547,0.08228185027837753
gru,80,2000,0.08296121656894684,0.1761397048830986,0.0828070305287838
coupling,80,2000,0.08309116959571838,0.24476458877325058,0.08134909346699715
fourier,80,2000,0.05556846782565117,0.05329033359885216,0.07466378808021545
resnet,100,2000,0.08675176650285721,0.37098610401153564,0.06691073440015316
gru,100,2000,0.08596587926149368,0.1814078763127327,0.06718282960355282
coupling,100,2000,0.08574562519788742,0.25117791444063187,0.06592228449881077
fourier,100,2000,0.06303473562002182,0.055823082104325294,0.058604639023542404
resnet,200,2000,0.09919073432683945,0.36616719514131546,0.07546551898121834
gru,200,2000,0.09831713140010834,0.17580894380807877,0.07583180256187916
coupling,200,2000,0.09825817495584488,0.24375689402222633,0.07460016384720802
fourier,200,2000,0.0744691714644432,0.05354784615337849,0.06725192628800869
